URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhirfli.dev/fhir/ig/cicada/ValueSet/VaccineCodesCvxMvx,0.1.0,draft,,VaccineCodesCvxMvx,,"","StructureDefinition/ReactionProfile,StructureDefinition/vax-dose,StructureDefinition/MedicationAdministrationProfile,StructureDefinition/MedicationRequestProfile,StructureDefinition/MedicationDispenseProfile,StructureDefinition/MedicationStatementProfile","FHIR"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/eval-reason,0.1.0,draft,,EvalReasonVS,Evaluation Reason,"The reason for the evaluation.","StructureDefinition/vax-dose","Internal"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/eval-status,0.1.0,draft,,EvalStatusVS,Evaluation Status Value Set,"Value Set for the status of the result of an evaluation.","StructureDefinition/vax-dose","Internal"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/immunization-procedures-cpt,0.1.0,active,,ImmunizationProceduresCpt,Immunization-Relevant Procedures (CPT),"CPT codes for procedures relevant to immunization decision support, including splenectomy and cochlear implant.",,"Other"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/interval-reason,0.1.0,draft,,IntervalReasonVS,Interval Reason,"This value set includes codes for the reason an interval is considered to be invalid.","StructureDefinition/allowed-interval-reason,StructureDefinition/preferred-interval-reason","Internal"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/preferred-allowed-reason,0.1.0,draft,,PreferredAllowedReasonVS,Reasons why certain doses are Preferred or Allowed doses,"Reasons why certain doses are Preferred or Allowed doses","StructureDefinition/preferred-vaccine-reason,StructureDefinition/allowed-vaccine-reason","Internal"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/procedures,0.1.0,draft,,ImmunizationProceduresSnomed,Procedures,"Comprehensive Value Set for medical procedures based on SNOMED CT codes.","StructureDefinition/ProcedureProfile","SCT"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/vaccine-condition-codes-icd10,0.1.0,active,,VaccineConditionCodesIcd10,Vaccine Condition Codes (ICD-10-CM),"Value set for conditions based on ICD-10-CM that may impact immunization decisions, mapped to CDSi observation codes.",,"FHIR"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/vaccine-condition-codes-snomed,0.1.0,draft,,VaccineConditionCodesSnomed,Vaccine Condition Codes,"Value set for conditions based on SNOMED CT, that may impact immunization.","StructureDefinition/ReactionProfile,StructureDefinition/VaccineConditionFhir,StructureDefinition/VaccineObservationFhir","SCT"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/vaccine-gender,0.1.0,draft,,VaccineGenderVS,Vaccine Gender,"Value set for gender categories relevant to vaccination data.","StructureDefinition/vax-patient","Internal"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/vaccine-lab-evidence-of-immunity-loinc,0.1.0,active,,VaccineLabEvidenceOfImmunityLoinc,Lab Evidence of Immunity (LOINC),"LOINC codes for laboratory tests that provide evidence of immunity, mapped to CDSi observation codes for immunization decision support.",,"LOINC"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/vaccine-medication-codes-rxnorm,0.1.0,active,,VaccineMedicationCodesRxnorm,Immunization-Relevant Medications (RxNorm),"RxNorm codes for medications relevant to immunization decision support, including antivirals and aspirin.",,"RxNorm"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/vaccine-medication-codes-snomed,0.1.0,draft,,VaccineMedicationCodesSnomed,Medications,"Value set for medications and substances based on SNOMED CT, including both active ingredients and marketed products.",,"SCT"
http://fhirfli.dev/fhir/ig/cicada/ValueSet/valid-age-reason,0.1.0,draft,,ValidAgeReasonVS,Valid Age Reason,"Value set for reasons why a patient's age is considered valid/invalid for a vaccine.","StructureDefinition/valid-age-reason","Internal"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/MedicationAdministrationProfile","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/vax-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.133",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","StructureDefinition/ReactionProfile","hl7.fhir.r4.core"
